nome,descricao,bairro,latitude,longitude,categoria,logradouro,telefone,site
Museu da Cidade do Recife,"""fica dentro do Forte das Cinco Pontas construção holandesa de 1630. No local o visitante pode desfrutar de um extenso acervo de documentos iconográficos sobre o Recife além de 150 mil imagens de antigas residências e peças religiosas.""","""São José""",-8.071313,-34.880809,Lazer,"""Praça das cinco pontas""",(81)-33552812,http://www.recife.pe.gov.br/cultura/museucidade.php
Museu Militar,"""está no Forte do Brum no Bairro do Recife. O forte foi construído no século XVI para segurança e proteção da povoação do Recife além de ter sido cenário de inúmeros acontecimentos históricos. ""","""Recife""",-8.052803,-34.871412,Lazer,"""Av. Militar s/n""",(81) 3224-4620,
Museu de Arte Moderna Aloísio Magalhães (Mamam),"""integra o circuito de museus de arte moderna do Brasil e tem seu forte nas exposições temporárias.""","""Boa Vista""",-8.061285,-34.881394,Lazer,"""Rua da Aurora 265""",(81) 3355-6870,http://www.mamam.art.br/
Museu Franciscano de Arte Sacra,"""no bairro de Santo Antônio os visitantes podem observar valiosas peças do catolicismo no Recife e desfrutar da beleza da Capela Dourada datada de 1696 um dos melhores exemplos da arte sacra e do estilo barroco brasileiro. """,""" Santo Antônio""",-8.062427,-34.877231,Lazer,"""R. Imperador Dom Pedro II 57""",(81) 3224-0530,http://www.capeladourada.com.br/noticias/museu-franciscano-de-arte-sacra/
Instituto Arqueológico Histórico e Geográfico de Pernambuco,"""Centro de referência para pesquisadores de diversas áreas possui em seu acervo documentos e itens raros que representam a história do estado.""","""Boa Vista""",-8.0617337,-34.8843858,Lazer,"""Rua do Hospício 130""",(81) 3222-4952,http://www.iahgp.com.br/
Museu de Arte Popular,"""A casa 49 do Pátio de São Pedro abriga o MAP sua coleção retrata os estados do nordeste brasileiro através de obras em madeira gesso e cerâmica (barro).""","""São José""",-8.0673105,-34.8790074,Lazer,"""Pátio de São Pedro 49""",(81) 3355-3110,https://museudeartepopular.wordpress.com/
Cais do Sertão,"""Com experiências sensoriais e arquitetura inovadora o Cais do Sertão apresenta a cultura do homem sertanejo em um ambiente tecnológico e interativo. Objetos do cotidiano discos instrumentos musicais estão presentes em seu acervo. O visitante tem a oportunidade de tocar alguns instrumentos cantar em cabines de karaokê  além de contemplar uma réplica do Rio São Francisco e a arte da xilogravura.""","""Recife""",-8.0631633,-34.8711337,Lazer,"""Av. Alfredo Lisboa S/N""",(81) 3089-2974,www.caisdosertao.com.br
Casa do Carnaval ,"""Espaço destinado a pesquisas sobre as manifestações da cultura popular com acervo de livros periódicos teses cartas partituras fotografias notas de jornal entre outros documentos.""","""São José""",-8.0667877,-34.8790547,Lazer,"""Pátio de São Pedro Nº 38""",(81) 3355-4311 | 3355-4331,http://casadocarnaval.blogspot.com.br/
Observatório Cultural Torre Malakoff,"""Observatório astronômico do século XIX funciona também como centro cultural abrigando exposições temporárias""","""Recife""",-8.0631633,-34.8711337,Lazer,"""Praça do Arsenal S/N""",(81) 3184-3180,https://www.facebook.com/TorreMalakoffOnline/
Sinagoga Kahal Zur Israel,"""Primeira singagoga das Américas funciona atualmente o Centro Judaico de Pernambuco. Escavações arqueológicas exposição de itens e documentos proporcionam o contado do visitante com a história do judeus no Recife.""","""Recife""",-8.0618594,-34.8713172,Lazer,"""Rua do Bom Jesus 197""",(81) 3224-8351,http://www.kahalzurisrael.com/
Paço do Frevo,"""Espaço cultural no bairro do Recife conta através de seu ambiente toda a história da dança e ritmo Frevo. Dedicado à formação e pesquisa possui escola de dança e música além de um centro de documentação.""","""Recife""",-8.0613183,-34.8716376,Lazer,"""Praça do Arsenal da Marinha S/N""",(81) 3355-9500,http://www.pacodofrevo.org.br/
